team,season,matches_played,matches_won,avg_match_intensity,win_rate,home_wins,away_wins,home_matches,away_matches,home_win_percentage,away_win_percentage
Chennai Super Kings,IPL-2008,16,9,736.4375,56.25,51,49,89,75,57.30337078651685,65.33333333333333
Chennai Super Kings,IPL-2009,14,8,727.5,57.14285714285714,51,49,89,75,57.30337078651685,65.33333333333333
Chennai Super Kings,IPL-2010,16,9,747.9375,56.25,51,49,89,75,57.30337078651685,65.33333333333333
Chennai Super Kings,IPL-2011,16,11,684.0625,68.75,51,49,89,75,57.30337078651685,65.33333333333333
Chennai Super Kings,IPL-2012,18,10,710.6666666666666,55.55555555555556,51,49,89,75,57.30337078651685,65.33333333333333
Chennai Super Kings,IPL-2013,18,12,713.0555555555555,66.66666666666666,51,49,89,75,57.30337078651685,65.33333333333333
Chennai Super Kings,IPL-2014,16,10,736.375,62.5,51,49,89,75,57.30337078651685,65.33333333333333
Chennai Super Kings,IPL-2015,17,10,761.2352941176471,58.82352941176471,51,49,89,75,57.30337078651685,65.33333333333333
Chennai Super Kings,IPL-2018,16,11,801.875,68.75,51,49,89,75,57.30337078651685,65.33333333333333
Chennai Super Kings,IPL-2019,17,10,707.5294117647059,58.82352941176471,51,49,89,75,57.30337078651685,65.33333333333333
Delhi Capitals,IPL-2008,14,7,758.2857142857143,50.0,3,7,6,10,50.0,70.0
Delhi Capitals,IPL-2008,14,7,758.2857142857143,50.0,25,42,72,89,34.72222222222222,47.19101123595505
Delhi Capitals,IPL-2009,15,10,687.2666666666667,66.66666666666666,3,7,6,10,50.0,70.0
Delhi Capitals,IPL-2009,15,10,687.2666666666667,66.66666666666666,25,42,72,89,34.72222222222222,47.19101123595505
Delhi Capitals,IPL-2010,14,7,753.6428571428571,50.0,3,7,6,10,50.0,70.0
Delhi Capitals,IPL-2010,14,7,753.6428571428571,50.0,25,42,72,89,34.72222222222222,47.19101123595505
Delhi Capitals,IPL-2011,13,4,764.0,30.76923076923077,3,7,6,10,50.0,70.0
Delhi Capitals,IPL-2011,13,4,764.0,30.76923076923077,25,42,72,89,34.72222222222222,47.19101123595505
Delhi Capitals,IPL-2012,18,11,705.8333333333334,61.111111111111114,3,7,6,10,50.0,70.0
Delhi Capitals,IPL-2012,18,11,705.8333333333334,61.111111111111114,25,42,72,89,34.72222222222222,47.19101123595505
Delhi Capitals,IPL-2013,16,3,701.25,18.75,3,7,6,10,50.0,70.0
Delhi Capitals,IPL-2013,16,3,701.25,18.75,25,42,72,89,34.72222222222222,47.19101123595505
Delhi Capitals,IPL-2014,14,2,693.2142857142857,14.285714285714285,3,7,6,10,50.0,70.0
Delhi Capitals,IPL-2014,14,2,693.2142857142857,14.285714285714285,25,42,72,89,34.72222222222222,47.19101123595505
Delhi Capitals,IPL-2015,13,5,712.4615384615385,38.46153846153847,3,7,6,10,50.0,70.0
Delhi Capitals,IPL-2015,13,5,712.4615384615385,38.46153846153847,25,42,72,89,34.72222222222222,47.19101123595505
Delhi Capitals,IPL-2016,14,7,697.5714285714286,50.0,3,7,6,10,50.0,70.0
Delhi Capitals,IPL-2016,14,7,697.5714285714286,50.0,25,42,72,89,34.72222222222222,47.19101123595505
Delhi Capitals,IPL-2017,14,6,773.1428571428571,42.857142857142854,3,7,6,10,50.0,70.0
Delhi Capitals,IPL-2017,14,6,773.1428571428571,42.857142857142854,25,42,72,89,34.72222222222222,47.19101123595505
Delhi Capitals,IPL-2018,14,5,787.0,35.714285714285715,3,7,6,10,50.0,70.0
Delhi Capitals,IPL-2018,14,5,787.0,35.714285714285715,25,42,72,89,34.72222222222222,47.19101123595505
Delhi Capitals,IPL-2019,16,10,802.4375,62.5,3,7,6,10,50.0,70.0
Delhi Capitals,IPL-2019,16,10,802.4375,62.5,25,42,72,89,34.72222222222222,47.19101123595505
Gujarat Lions,IPL-2016,16,9,739.1875,56.25,1,12,14,16,7.142857142857142,75.0
Gujarat Lions,IPL-2017,14,4,795.2142857142857,28.57142857142857,1,12,14,16,7.142857142857142,75.0
Kochi Tuskers Kerala,IPL-2011,14,6,673.7142857142857,42.857142857142854,2,4,7,7,28.57142857142857,57.14285714285714
Kolkata Knight Riders,IPL-2008,13,6,702.3076923076923,46.15384615384615,34,58,83,95,40.963855421686745,61.05263157894737
Kolkata Knight Riders,IPL-2009,13,3,648.7692307692307,23.076923076923077,34,58,83,95,40.963855421686745,61.05263157894737
Kolkata Knight Riders,IPL-2010,14,7,705.7857142857143,50.0,34,58,83,95,40.963855421686745,61.05263157894737
Kolkata Knight Riders,IPL-2011,15,8,642.3333333333334,53.333333333333336,34,58,83,95,40.963855421686745,61.05263157894737
Kolkata Knight Riders,IPL-2012,17,12,678.5294117647059,70.58823529411765,34,58,83,95,40.963855421686745,61.05263157894737
Kolkata Knight Riders,IPL-2013,16,6,706.9375,37.5,34,58,83,95,40.963855421686745,61.05263157894737
Kolkata Knight Riders,IPL-2014,16,11,718.25,68.75,34,58,83,95,40.963855421686745,61.05263157894737
Kolkata Knight Riders,IPL-2015,13,7,764.6153846153846,53.84615384615385,34,58,83,95,40.963855421686745,61.05263157894737
Kolkata Knight Riders,IPL-2016,15,8,712.6,53.333333333333336,34,58,83,95,40.963855421686745,61.05263157894737
Kolkata Knight Riders,IPL-2017,16,9,745.1875,56.25,34,58,83,95,40.963855421686745,61.05263157894737
Kolkata Knight Riders,IPL-2018,16,9,840.1875,56.25,34,58,83,95,40.963855421686745,61.05263157894737
Kolkata Knight Riders,IPL-2019,14,6,791.5,42.857142857142854,34,58,83,95,40.963855421686745,61.05263157894737
